model_name,cv_rmse,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,r2_gap,rmse_gap
ElasticNet Regression,0.10993983140314703,0.09956385604128104,0.10757120351681736,0.08102819749174739,0.08861629609238039,0.8781931110864959,0.8642071051001322,0.013986005986363681,0.008007347475536317
Ridge Regression,0.12787039746135914,0.04589233978341219,0.10890635351121966,0.03722921571423125,0.09200409473343878,0.9741209198652312,0.8608153231221399,0.11330559674309126,0.06301401372780747
Lasso Regression,0.1088662827906263,0.10134554898730046,0.10896121008105887,0.08259447391795055,0.08844183032997648,0.8737946418107561,0.860675072041455,0.013119569769301065,0.0076156610937584135
Linear Regression,0.12776847741175354,1.0418744677054674e-05,0.10914095651794743,7.1064467207521554e-06,0.09236278545629441,0.9999999986661738,0.860215021801337,0.13978497686483682,0.10913053777327038
XGBoost,0.15127160832973605,0.07209834865088645,0.1119623424016327,0.058396744336837406,0.0920647950075111,0.9361267418417103,0.8528944887919575,0.08323225304975279,0.03986399375074626
Random Forest,0.14955776154988254,0.059498142397242215,0.11378419642441889,0.0485741043486877,0.09672356808551127,0.95650140314165,0.8480681292911463,0.10843327385050372,0.05428605402717668
Decision Tree,0.16298090062641782,0.08425390630446394,0.1259879300042252,0.06539708342587222,0.10692604708755397,0.9127734841689256,0.8137300179424796,0.099043466226446,0.04173402369976126
